dataset,model_name,model_shortname,test/loss,test/kl_div,test/recon_loss,test/mu_dist,test/std_post_norm,test/std_prior_norm,test/ged/1,test/sample_diversity/1,test/diceloss/1,test/ged/4,test/sample_diversity/4,test/diceloss/4,test/ged/8,test/sample_diversity/8,test/diceloss/8,test/ged/16,test/sample_diversity/16,test/diceloss/16
lidc,Softmax Output,softm,0.009453175589442253,,,,,,1.2110447883605957,0.0,0.35836005210876465,0.8720687627792358,0.0,0.35836005210876465,0.8146389126777649,0.0,0.35836005210876465,0.8142243027687073,0.0,0.35836005210876465
lidc,Ensemble,ensemble,0.011326957494020462,,,,,,1.2666858434677124,0.0,0.37398239970207214,0.7089078426361084,0.2213742434978485,0.34805428981781006,0.5950941443443298,0.26201584935188293,0.3460084795951843,0.5688681602478027,0.26526978611946106,0.3479859232902527
lidc,MC Dropout,mcdropout,0.01725904457271099,,,,,,1.2442197799682617,0.0,0.5110626220703125,0.7235170602798462,0.3070066571235657,0.49741628766059875,0.6008232235908508,0.384238064289093,0.47585752606391907,0.4671880602836609,0.395551860332489,0.4859837293624878
lidc,Prob. U-Net,punet,0.010312533937394619,0.9566781520843506,0.009834195487201214,2.5111918449401855,6.811110019683838,6.903993606567383,1.2939789295196533,0.0,0.38700205087661743,0.6005029082298279,0.3540969789028168,0.3779038190841675,0.48911798000335693,0.40637850761413574,0.3779629170894623,0.4555484652519226,0.431806355714798,0.37586158514022827
isic18,Softmax Output,softm,0.17323780059814453,,,,,,0.5299862027168274,0.0,0.157490536570549,0.5299862027168274,0.0,0.157490536570549,0.5299862027168274,0.0,0.157490536570549,0.5299862027168274,0.0,0.157490536570549
isic18,Ensemble,ensemble,0.17526406049728394,,,,,,0.5421196818351746,0.0,0.161494180560112,0.4678880274295807,0.08635148406028748,0.15836255252361298,0.44000789523124695,0.10492072254419327,0.15832628309726715,0.4424416422843933,0.10504481941461563,0.15755321085453033
isic18,MC Dropout,mcdropout,0.15695667266845703,,,,,,0.5573153495788574,0.0,0.1551179587841034,0.40624964237213135,0.2672596573829651,0.12474459409713745,0.3150600790977478,0.29103797674179077,0.11903522163629532,0.30988913774490356,0.2680530846118927,0.1174854040145874
isic18,Prob. U-Net,punet,0.14689844846725464,4.495595455169678,0.1446506679058075,5.500696182250977,27.836334228515625,27.739622116088867,0.4624686539173126,0.0,0.1269187033176422,0.4117800295352936,0.05457279458642006,0.12588728964328766,0.4013545513153076,0.06571899354457855,0.12509992718696594,0.39762353897094727,0.06920973211526871,0.12444745004177094
